Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB03, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
19.97, 0, 7.96, 66,                              0, 7.96, 59,                              0, 7.96, 344, 0.0,                              0
20.02, 0, 8.01, 67,                              0, 8.01, 59,                              0, 8.01, 346, 0.0,                              0
20.06, 0, 8.05, 67,                              0, 8.05, 60,                              0, 8.05, 348, 0.0,                              0
20.1, 0, 8.09, 67,                              0, 8.09, 60,                              0, 8.09, 350, 0.0,                              0
20.15, 0, 8.14, 68,                              0, 8.14, 60,                              0, 8.14, 351, 0.0,                              0
20.19, 0, 8.18, 68,                              0, 8.18, 61,                              0, 8.18, 353, 0.0,                              0
20.24, 0, 8.23, 69,                              0, 8.23, 61,                              0, 8.23, 355, 0.0,                              0
20.28, 0, 8.27, 69,                              0, 8.27, 61,                              0, 8.27, 357, 0.0,                              0
20.33, 0, 8.31, 69,                              0, 8.31, 62,                              0, 8.31, 359, 0.0,                              0
20.37, 0, 8.36, 70,                              0, 8.36, 62,                              0, 8.36, 361, 0.0,                              0
20.42, 0, 8.4, 70,                              0, 8.4, 62,                              0, 8.4, 363, 0.0,                              0
20.46, 0, 8.45, 70,                              0, 8.45, 63,                              0, 8.45, 365, 0.0,                              0
20.5, 0, 8.49, 71,                              0, 8.49, 63,                              0, 8.49, 367, 0.0,                              0
20.55, 0, 8.54, 71,                              0, 8.54, 63,                              0, 8.54, 369, 0.0,                              0
20.6, 0, 8.58, 72,                              0, 8.58, 64,                              0, 8.58, 371, 0.0,                              0
20.66, 0, 8.64, 72,                              0, 8.64, 64,                              0, 8.64, 373, 0.0,                              0
20.7, 0, 8.69, 72,                              0, 8.69, 64,                              0, 8.69, 376, 0.0,                              0
20.75, 0, 8.74, 73,                              0, 8.74, 65,                              0, 8.74, 378, 0.0,                              0
20.8, 0, 8.78, 73,                              0, 8.78, 65,                              0, 8.78, 380, 0.0,                              0
20.84, 0, 8.83, 74,                              0, 8.83, 65,                              0, 8.83, 382, 0.0,                              0
20.89, 0, 8.87, 74,                              0, 8.87, 66,                              0, 8.87, 383, 0.0,                              0
20.93, 0, 8.92, 74,                              0, 8.92, 66,                              0, 8.92, 385, 0.0,                              0
20.98, 0, 8.97, 75,                              0, 8.97, 66,                              0, 8.97, 387, 0.0,                              0
21.02, 0, 9.01, 75,                              0, 9.01, 67,                              0, 9.01, 389, 0.0,                              0
21.07, 0, 9.06, 76,                              0, 9.06, 67,                              0, 9.06, 391, 0.0,                              0
21.12, 0, 9.1, 76,                              0, 9.1, 67,                              0, 9.1, 393, 0.0,                              0
21.16, 0, 9.15, 76,                              0, 9.15, 68,                              0, 9.15, 395, 0.0,                              0
21.2, 0, 9.19, 77,                              0, 9.19, 68,                              0, 9.19, 397, 0.0,                              0
21.25, 0, 9.24, 77,                              0, 9.24, 68,                              0, 9.24, 399, 0.0,                              0
21.3, 0, 9.28, 77,                              0, 9.28, 69,                              0, 9.28, 401, 0.0,                              0
21.34, 0, 9.33, 78,                              0, 9.33, 69,                              0, 9.33, 403, 0.0,                              0
21.39, 0, 9.37, 78,                              0, 9.37, 69,                              0, 9.37, 405, 0.0,                              0
