Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
Bars, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
22.72, 0, 10.71, 89,                              0, 10.71, 79,                              0, 10.71, 463, 0.0,                              45
22.77, 0, 10.76, 90,                              0, 10.76, 80,                              0, 10.76, 465, 0.0,                              45
22.82, 0, 10.8, 90,                              0, 10.81, 80,                              0, 10.81, 467, 0.0,                              45
22.86, 0, 10.85, 91,                              0, 10.85, 80,                              0, 10.85, 469, 0.0,                              45
22.91, 0, 10.9, 91,                              0, 10.9, 81,                              0, 10.9, 471, 0.0,                              45
22.95, 0, 10.94, 91,                              0, 10.94, 81,                              0, 10.94, 473, 0.0,                              45
23.0, 0, 10.99, 92,                              0, 10.99, 82,                              0, 10.99, 475, 0.0,                              45
23.05, 0, 11.03, 92,                              0, 11.03, 82,                              0, 11.03, 477, 0.0,                              45
23.1, 0, 11.09, 93,                              0, 11.09, 82,                              0, 11.09, 480, 0.0,                              45
23.15, 0, 11.14, 93,                              0, 11.14, 83,                              0, 11.14, 482, 0.0,                              45
23.19, 0, 11.18, 93,                              0, 11.18, 83,                              0, 11.18, 484, 0.0,                              45
23.24, 0, 11.23, 94,                              0, 11.23, 83,                              0, 11.23, 486, 0.0,                              45
23.28, 0, 11.27, 94,                              0, 11.27, 84,                              0, 11.27, 488, 0.0,                              45
23.33, 0, 11.32, 95,                              0, 11.32, 84,                              0, 11.32, 490, 0.0,                              45
23.37, 0, 11.36, 95,                              0, 11.36, 84,                              0, 11.36, 491, 0.0,                              45
23.41, 0, 11.4, 95,                              0, 11.4, 85,                              0, 11.4, 493, 0.0,                              45
23.46, 0, 11.44, 96,                              0, 11.44, 85,                              0, 11.44, 495, 0.0,                              45
23.5, 0, 11.49, 96,                              0, 11.49, 85,                              0, 11.49, 497, 0.0,                              45
23.54, 0, 11.53, 96,                              0, 11.53, 86,                              0, 11.53, 499, 0.0,                              45
23.59, 0, 11.57, 97,                              0, 11.57, 86,                              0, 11.57, 501, 0.0,                              45
